,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
211035,2075522854,"Moral Circus releases their first album, ""Set in a Stem""",Music,Music,USD,2013-12-08,500.0,2013-11-18 19:19:10,1700.0,successful,42,US,1700.0,1700.0,500.0
237475,277187351,Card Tempos (Canceled),Film & Video,Film & Video,USD,2015-09-24,500.0,2015-08-25 00:44:07,70.0,canceled,2,US,70.0,70.0,500.0
46928,1238786587,MMA News,Web,Technology,USD,2015-11-02,1000.0,2015-09-25 08:48:03,0.0,failed,0,US,0.0,0.0,1000.0
248642,334535884,"Lucha Diaboloca- BOOBS, MASKS, MAYHEM",Photography,Photography,USD,2013-09-27,5000.0,2013-08-28 23:41:46,5265.0,successful,49,US,5265.0,5265.0,5000.0
16478,1083397694,Stu's Big Party - Children's Book,Children's Books,Publishing,USD,2014-02-20,3000.0,2014-01-21 20:02:38,3120.0,successful,48,US,3120.0,3120.0,3000.0
93865,1477130256,world wide graffiti magazine,Zines,Publishing,AUD,2014-12-15,4000.0,2014-11-15 03:13:07,5.0,failed,1,AU,4.35,4.09,3271.72
260796,396594488,The Beekeepers' first EP!!,Country & Folk,Music,USD,2013-03-06,4500.0,2013-02-04 03:53:47,4579.0,successful,84,US,4579.0,4579.0,4500.0
183,1000761521,KILOS.,Thrillers,Film & Video,USD,2018-02-06,5000.0,2017-12-23 20:34:31,310.0,live,4,US,200.0,310.0,5000.0
47175,1240191590,SleepOvation: 700 Tiny Mattresses in One,Product Design,Design,USD,2017-09-01,10000.0,2017-08-01 13:50:42,14914.0,successful,57,US,883.0,14914.0,10000.0
26881,1136485591,Honeycomb [2016],Documentary,Film & Video,GBP,2016-05-01,475.0,2016-04-01 23:15:14,483.0,successful,37,GB,692.96,699.97,688.38
151354,1769174115,100 Years of Wisdom Documentary,Documentary,Film & Video,USD,2014-07-20,4000.0,2014-06-20 21:25:54,1167.0,failed,30,US,1167.0,1167.0,4000.0
15436,1078054035,OB's Irie Pepper Sauce & Marinade,Small Batch,Food,USD,2014-08-25,7717.0,2014-07-26 00:26:59,1730.0,failed,19,US,1730.0,1730.0,7717.0
140417,1712956943,"Multitool ""Sidewinder""",Product Design,Design,USD,2015-12-19,1000.0,2015-11-04 11:20:43,417.0,failed,17,US,417.0,417.0,1000.0
8043,1040629737,Youth Rising: Middle East - A Come&Live! Documentary,Documentary,Film & Video,USD,2016-06-16,21000.0,2016-05-17 20:53:48,21149.0,successful,135,US,21149.0,21149.0,21000.0
23866,1121165926,Luxury Leather Briefcase by sizhfleür,Product Design,Design,USD,2015-09-26,15000.0,2015-08-12 17:14:23,479.0,failed,1,US,479.0,479.0,15000.0
91626,1465553961,The Nappy Cake Bakery,Crafts,Crafts,AUD,2014-08-30,850.0,2014-08-16 13:36:41,0.0,failed,0,AU,0.0,0.0,796.03
312533,661967233,HE AND ROCK & ROLL - a short film about love and rock,Shorts,Film & Video,USD,2016-01-25,7000.0,2015-12-03 23:21:53,8240.0,successful,31,US,8240.0,8240.0,7000.0
307026,633697744,Thou Shall Not Tailgate,Documentary,Film & Video,USD,2017-09-08,15000.0,2017-08-07 17:51:54,15310.0,successful,158,US,2378.0,15310.0,15000.0
340409,803857901,A Knish for Today: New Spins on a Lower East Side Classic,Food,Food,USD,2012-11-08,2000.0,2012-10-09 16:37:44,1250.18,canceled,38,US,1250.18,1250.18,2000.0
333853,770649025,Dad's Right Here (Canceled),Web,Journalism,USD,2016-03-02,9000.0,2016-02-01 18:01:04,0.0,canceled,0,US,0.0,0.0,9000.0
271512,451347443,2013 Bicycle Music Festival permit push,Public Art,Art,USD,2013-06-22,4000.0,2013-06-12 19:16:55,4213.0,successful,103,US,4213.0,4213.0,4000.0
204516,2041886732,The Good the Bad and the Coyote FILM WITH DISTRIBUTION DEAL!,Comedy,Film & Video,USD,2014-06-13,5000.0,2014-05-14 23:05:36,5024.0,successful,66,US,5024.0,5024.0,5000.0
123328,1626247241,Michaela McLaird's The Morning Sun EP,Music,Music,USD,2012-08-25,3500.0,2012-07-26 02:25:26,3842.0,successful,39,US,3842.0,3842.0,3500.0
295909,576225771,Eaten To Death,Webseries,Film & Video,USD,2016-01-22,28000.0,2015-12-23 02:38:00,25.0,failed,1,US,25.0,25.0,28000.0
310147,649709,Once Upon a Crime - A Free Augmented Reality Mobile Game,Mobile Games,Games,USD,2014-11-19,5000.0,2014-10-05 04:31:23,125.0,canceled,2,US,125.0,125.0,5000.0
358216,894855471,One Night Only Spaghetti Western Concert - Rick del Castillo,Latin,Music,USD,2015-07-11,2000.0,2015-06-04 05:02:42,2750.0,successful,26,US,2750.0,2750.0,2000.0
322270,71113861,Feeding the Vegans...One Happy Belly at a Time!,Food,Food,USD,2011-05-24,12500.0,2011-04-09 18:53:48,1451.0,failed,11,US,1451.0,1451.0,12500.0
121627,1617764875,James and the giant Mitch podcast,Audio,Journalism,USD,2015-11-01,1500.0,2015-10-02 23:38:30,1.0,failed,1,US,1.0,1.0,1500.0
150348,1764085173,"So Bad, It's Good 2: Electric Bookaloo",Nonfiction,Publishing,USD,2014-03-13,2500.0,2014-02-20 01:09:51,3101.01,successful,83,US,3101.01,3101.01,2500.0
106128,1539415875,Unbound: The Awakening,Comics,Comics,USD,2012-12-01,1500.0,2012-10-14 13:22:19,2367.05,successful,111,US,2367.05,2367.05,1500.0
9215,1046542639,The Aruneus Project: High Fantasy meets the Zombie Apocalypse. A Unique RPG Setting!,Video Games,Games,USD,2010-06-18,7000.0,2010-04-29 04:43:47,397.0,failed,11,US,397.0,397.0,7000.0
52810,1268730136,The Creation of Football Starz by Figuractive (Canceled),Product Design,Design,GBP,2014-01-20,10000.0,2014-01-06 17:27:57,0.0,canceled,0,GB,0.0,0.0,16508.19
308498,641347447,Backwoods Bash 2014! May 23-26,Music,Music,USD,2014-03-07,10000.0,2014-02-05 19:38:00,10185.0,successful,89,US,10185.0,10185.0,10000.0
351545,860970902,BearWorld,Documentary,Film & Video,USD,2012-02-10,25338.0,2011-12-12 21:49:02,40.0,failed,3,US,40.0,40.0,25338.0
193473,19844560,Ubiquity,Classical Music,Music,USD,2014-10-03,2500.0,2014-09-03 15:10:13,3053.0,successful,78,US,3053.0,3053.0,2500.0
71967,1366380663,Rashad Tokens: Series 2,Playing Cards,Games,USD,2015-07-15,2000.0,2015-06-15 06:20:48,673.0,failed,17,US,673.0,673.0,2000.0
285054,520229244,JetStream Cross-Platform Productivity Suite,Apps,Technology,USD,2016-05-10,6000.0,2016-04-25 22:19:56,2.0,failed,2,US,2.0,2.0,6000.0
90920,1462021822,ROOSTER: A Rural Thriller.,Thrillers,Film & Video,USD,2014-03-01,18000.0,2014-02-07 18:27:12,18948.35,successful,163,US,18948.35,18948.35,18000.0
205286,2045757167,NATO® Tactical Survival™ MIL-DIVER™ Watch,Fashion,Fashion,USD,2015-12-06,30000.0,2015-10-07 18:01:57,36496.0,successful,100,US,36496.0,36496.0,30000.0
163859,1833826151,"Dig a Dino! The bone-digging, Worker Placement, Micro-Game",Tabletop Games,Games,GBP,2016-10-02,6000.0,2016-09-01 20:56:08,6221.0,successful,279,GB,1061.64,7670.11,7397.64
318641,693006677,Artisan Kits featuring NYC's Finest Spices from Kalustyan's,Food,Food,USD,2015-01-02,6000.0,2014-11-18 17:59:08,6561.0,successful,69,US,6561.0,6561.0,6000.0
239512,287954755,MADAM Album,Pop,Music,GBP,2014-08-14,2000.0,2014-07-13 12:48:23,2204.0,successful,83,GB,3773.5,3678.48,3338.01
97808,1496594919,The Road to Carnegie Hall,Classical Music,Music,USD,2013-02-25,1500.0,2013-02-04 23:29:23,3309.2,successful,77,US,3309.2,3309.2,1500.0
268275,435069016,World's First Customizable and Adjustable Pillow System,Product Design,Design,USD,2016-06-15,25000.0,2016-05-16 16:49:58,6242.0,failed,44,US,6242.0,6242.0,25000.0
71490,1364063514,hoac shoes : the first loafers in the world to pop in pocket,Footwear,Fashion,EUR,2017-11-11,10000.0,2017-10-12 16:20:25,3570.0,failed,115,FR,335.39,4210.8,11794.96
301193,603701537,iBag for kids,Product Design,Design,GBP,2015-03-18,4000.0,2015-02-25 21:55:19,97.0,failed,4,GB,149.78,144.08,5941.24
160666,1817270897,IVY,Shorts,Film & Video,GBP,2013-11-29,500.0,2013-10-18 23:27:22,220.0,failed,5,GB,351.42,359.58,817.23
257982,381651795,"Henri, le Chat Noir's New Book - Reflections on Human Folly",Publishing,Publishing,USD,2015-07-15,5000.0,2015-06-15 07:56:33,12038.0,successful,360,US,12038.0,12038.0,5000.0
210042,2070382987,Dustbender - The Revolutionary Dust Mitigation Tool!,Hardware,Technology,USD,2016-05-14,37500.0,2016-04-18 16:06:56,1272.0,failed,21,US,1272.0,1272.0,37500.0
68954,1351015217,Funk Unplugged by Vamped Games,Video Games,Games,USD,2016-05-26,10000.0,2016-04-26 14:01:09,15596.69,successful,143,US,15596.69,15596.69,10000.0
103688,1527093143,En Proie - court-métrage / short film,Shorts,Film & Video,EUR,2015-09-05,7500.0,2015-08-01 17:38:37,7525.0,successful,60,FR,8232.66,8479.16,8450.99
171870,1874254590,Tacoma Union Station - Then and Now,Photography,Photography,USD,2013-02-24,2781.0,2013-01-25 21:05:40,588.0,failed,17,US,588.0,588.0,2781.0
149022,1757382098,"Legends of Allyoshmar, The Dreams and the Darkness",Fiction,Publishing,USD,2014-07-19,1000.0,2014-06-19 22:39:01,2046.0,successful,55,US,2046.0,2046.0,1000.0
186896,195160153,Lunch Anyone (Canceled),Food,Food,GBP,2015-11-28,18626.0,2015-10-28 09:45:29,0.0,canceled,0,GB,0.0,0.0,28198.99
283726,513512725,n/a (Canceled),Shorts,Film & Video,USD,2016-04-04,40000.0,2016-03-05 03:30:31,1211.0,canceled,34,US,1211.0,1211.0,40000.0
263115,408163624,TRIBULATION CHRISTIAN/ACTION SHORT FILM,Action,Film & Video,USD,2016-08-13,8000.0,2016-06-14 21:09:43,36.0,failed,3,US,0.0,36.0,8000.0
376297,987940056,Ceramic Pottery Bowls Inspired by Nature,Ceramics,Art,USD,2014-06-04,2700.0,2014-05-05 18:56:14,440.0,failed,6,US,440.0,440.0,2700.0
148624,1755450493,WedUh Man : Comedy Web Series,Webseries,Film & Video,USD,2012-04-16,5000.0,2012-03-02 02:00:34,1563.0,failed,32,US,1563.0,1563.0,5000.0
204295,204067803,MABOU — THE BAG FOR YOUR BAG,Fashion,Fashion,EUR,2017-07-22,4000.0,2017-07-01 23:15:41,3256.0,failed,41,DE,1162.35,3818.95,4691.59
176993,1900363317,Family Health Revolution: The Book,Publishing,Publishing,CAD,2017-09-20,27000.0,2017-08-21 15:46:23,1385.0,failed,26,CA,0.0,1128.86,22006.68
221379,2127664742,Solar Smash 360,Games,Games,USD,2017-07-29,600.0,2017-07-15 08:11:46,5.0,failed,1,US,5.0,5.0,600.0
36228,1183910769,Trish McAleny's Debut Album,Country & Folk,Music,USD,2013-07-30,7500.0,2013-05-31 21:26:42,176.0,failed,5,US,176.0,176.0,7500.0
126611,1642701270,SHAPES - Metal Cable Holder | Elegant desk accessories,Product Design,Design,USD,2016-11-24,1000.0,2016-10-25 18:26:47,5636.0,successful,95,US,2254.0,5636.0,1000.0
135530,1688211099,Atlantis Rising,Shorts,Film & Video,USD,2013-06-30,300.0,2013-06-10 18:57:14,0.0,failed,0,US,0.0,0.0,300.0
11518,1057760169,"""New World"" A Progressive Rock Album by Dave Kerzner",Rock,Music,USD,2014-08-06,17000.0,2014-06-27 06:30:59,31548.0,successful,598,US,31548.0,31548.0,17000.0
81996,1416807578,Help more kids fail at Leonardo’s Basement,Makerspaces,Technology,USD,2015-10-29,18500.0,2015-09-29 18:50:58,22362.0,successful,200,US,22362.0,22362.0,18500.0
173821,1883958625,Lazylarm  Alarm Clock,Product Design,Design,GBP,2013-11-30,40000.0,2013-10-25 17:04:54,2939.0,failed,67,GB,4758.2,4803.78,65379.77
77271,1393110671,Shock Value band bus/equipment,Indie Rock,Music,USD,2015-12-31,6500.0,2015-12-16 04:58:40,0.0,failed,0,US,0.0,0.0,6500.0
294972,571521615,Copy Click Code,Web,Technology,USD,2014-11-15,5000.0,2014-10-01 06:35:53,5.0,failed,1,US,5.0,5.0,5000.0
360703,907791643,NYCinMA/NYCinLI Musical Theater Summer Intensive,Theater,Theater,USD,2013-04-06,3250.0,2013-02-20 19:17:51,140.0,failed,2,US,140.0,140.0,3250.0
194956,1992698835,Unikpack | Give in to the joy of colors,Ready-to-wear,Fashion,NOK,2017-09-07,30000.0,2017-08-08 05:04:41,20485.0,canceled,8,NO,0.0,2653.77,3886.41
209111,2065600720,Sorghum & Spear - Book One,Comic Books,Comics,USD,2017-04-18,4000.0,2017-03-18 00:46:51,6438.0,successful,217,US,1380.0,6438.0,4000.0
313178,665108210,MYPIN : Great Audio for Great Video,Camera Equipment,Technology,USD,2017-12-27,10000.0,2017-11-27 15:04:22,25767.0,successful,174,US,5790.0,25767.0,10000.0
89282,1453692289,THE BLACK EMPOWERMENT(T.B.E.),Hip-Hop,Music,USD,2016-03-25,7000.0,2016-02-24 05:10:28,60.0,failed,3,US,60.0,60.0,7000.0
249549,339266374,Chili dog,Food Trucks,Food,USD,2014-08-13,5000.0,2014-07-14 05:19:26,40.0,failed,3,US,40.0,40.0,5000.0
276034,474471080,ASHTON HALL - THE COLLECTION,Fashion,Fashion,USD,2014-01-11,12000.0,2013-11-12 16:53:29,3.0,failed,3,US,3.0,3.0,12000.0
317746,688456275,A. Burger and Seafood Restaurant,Restaurants,Food,GBP,2015-01-13,25000.0,2014-12-14 18:27:39,0.0,failed,0,GB,0.0,0.0,37933.96
151222,1768459566,The IT-box,Software,Technology,USD,2015-07-01,7500.0,2015-06-01 21:06:52,810.0,failed,18,US,810.0,810.0,7500.0
97452,1494921287,Napoleon's First Italian Campaign,Nonfiction,Publishing,USD,2013-12-20,2000.0,2013-11-20 20:17:30,151.0,failed,5,US,151.0,151.0,2000.0
144266,1732842498,Launch the Classical Collection Fine Equine Jewelry line!,Fashion,Fashion,USD,2013-04-13,12000.0,2013-03-14 20:16:22,340.0,failed,5,US,340.0,340.0,12000.0
355162,879215517,UPLIFT - The revolution will be televised,Documentary,Film & Video,CAD,2014-11-26,12000.0,2014-10-26 22:24:04,30176.21,successful,549,CA,26865.49,26477.33,10529.09
301449,604986153,Karaokards: a card game for people who love music,Tabletop Games,Games,GBP,2013-11-19,5900.0,2013-10-22 12:31:19,8674.01,successful,322,GB,14018.96,14052.67,9558.53
253215,357775726,Help Unravelling Minds Fight The Stigma Around Mental Health,Apparel,Fashion,GBP,2017-11-28,900.0,2017-10-12 16:11:00,1078.0,successful,21,GB,39.6,1454.01,1213.92
118295,1601069018,The Survivor Bracelet,Weaving,Crafts,USD,2015-05-24,3000.0,2015-04-24 00:43:33,80.0,failed,2,US,80.0,80.0,3000.0
350770,856967588,Le Flusher : Standard toilet redefined (Canceled),Technology,Technology,USD,2015-08-30,20000.0,2015-07-16 00:14:56,395.0,canceled,7,US,395.0,395.0,20000.0
168314,185630358,Simple Stitches Quilts & Crafts,Quilts,Crafts,USD,2014-08-04,2750.0,2014-07-04 00:35:15,100.0,failed,3,US,100.0,100.0,2750.0
132781,1673846410,Existential Alleviation - 40 Days Bicycling (A Book),Conceptual Art,Art,USD,2011-07-01,800.0,2011-05-17 08:46:04,1071.0,successful,18,US,1071.0,1071.0,800.0
123277,1625988472,Sweet Treats By Jen Nut Free Custom Cake & Sweets Shop,Food,Food,CAD,2015-07-31,15000.0,2015-06-22 16:16:53,0.0,canceled,0,CA,0.0,0.0,11496.01
257686,380226946,Mesto Accelerando [Disc I],Fiction,Publishing,USD,2015-03-17,5.0,2015-02-15 07:38:08,295.0,successful,9,US,295.0,295.0,5.0
359908,90355908,ÖselBirch Birch Water Drinks,Drinks,Food,EUR,2017-05-13,24000.0,2017-04-03 11:32:02,24381.0,successful,141,DE,47.95,27255.65,26829.73
371927,96516663,FIVE CORNERS - Thriller/Drama,Narrative Film,Film & Video,USD,2013-05-22,3500.0,2013-04-22 21:47:37,0.0,failed,0,US,0.0,0.0,3500.0
212446,2082764835,Shepherd: Graphic Novel,Graphic Novels,Comics,AUD,2014-07-10,17000.0,2014-06-10 05:21:06,6903.0,failed,141,AU,6442.64,6489.0,15980.45
145672,1740061658,"B.A.D. Cards, To Inspire",Art,Art,USD,2014-08-17,500.0,2014-07-28 19:46:25,10.0,failed,1,US,10.0,10.0,500.0
140451,1713097711,bring Rage comics to the printed world,Publishing,Publishing,USD,2011-10-12,1000.0,2011-08-13 07:22:36,0.0,failed,0,US,0.0,0.0,1000.0
189965,1966858073,MMDC and PROJECT 44: #wearemakingashow,Performances,Dance,USD,2014-12-17,10000.0,2014-11-17 18:39:25,10041.0,successful,132,US,10041.0,10041.0,10000.0
224282,2142504506,Relaxing Bath Tub Tea Bags,Crafts,Crafts,USD,2015-04-20,277.0,2015-03-30 16:52:46,25.0,failed,1,US,25.0,25.0,277.0
222770,2134843294,The Woman with the Ring and the Hole in Her Pocket,Drama,Film & Video,USD,2016-04-15,2500.0,2016-03-21 16:03:13,2686.0,successful,41,US,2686.0,2686.0,2500.0
291142,551482198,Basketball Bags for Athletes: The Game Bag,Product Design,Design,USD,2016-09-14,15000.0,2016-08-15 17:19:48,0.0,canceled,0,US,0.0,0.0,15000.0
223182,2136985807,Touch (Off The Grid),Public Art,Art,USD,2012-06-02,3000.0,2012-05-06 05:34:47,3568.0,successful,72,US,3568.0,3568.0,3000.0
12931,1064912130,Anthony Viscounte Orchestra debut CD- mystical folk music!,Music,Music,USD,2011-06-25,2500.0,2011-06-04 22:49:40,2504.34,successful,24,US,2504.34,2504.34,2500.0
310892,653702373,Acres of Diamonds,Film & Video,Film & Video,USD,2016-05-03,25000.0,2016-03-28 16:00:53,27811.0,successful,147,US,27811.0,27811.0,25000.0
81429,1414182045,Delta,Dance,Dance,USD,2012-03-17,2000.0,2012-02-16 01:09:44,81.0,failed,5,US,81.0,81.0,2000.0
255489,369181177,BreatheAware | The Power Within You,Software,Technology,USD,2015-01-02,35000.0,2014-12-03 07:09:49,36206.0,successful,191,US,36206.0,36206.0,35000.0
345595,830416061,STEAKAROLA : The Best BBQ Jewelry,Design,Design,EUR,2016-01-24,25000.0,2015-12-22 10:45:34,3245.0,failed,24,IT,3525.84,3543.54,27300.03
15386,1077796819,Sweet and Smokey BBQ rub-always sweet and smokey never salty,Small Batch,Food,USD,2014-08-21,6000.0,2014-07-22 01:03:09,0.0,canceled,0,US,0.0,0.0,6000.0
125843,1638789119,"Dave & Emma Hart's debut ""Hold On"" produced by Jim VanCleve",Country & Folk,Music,USD,2013-06-24,18000.0,2013-05-25 20:57:20,18522.0,successful,172,US,18522.0,18522.0,18000.0
222857,2135277955,BRING IT ON MUSICAL MOVIE FUNDRAISER!,Comedy,Film & Video,USD,2014-06-08,50.0,2014-05-09 03:46:03,80.0,successful,2,US,80.0,80.0,50.0
310942,653930474,STUCK - The Web Series,Webseries,Film & Video,USD,2014-01-01,10000.0,2013-12-02 00:43:49,5448.0,failed,61,US,5448.0,5448.0,10000.0
33378,1169521573,"""What do we really believe in 2016?""",Video,Journalism,USD,2016-08-05,2000.0,2016-07-06 03:00:50,175.0,failed,4,US,0.0,175.0,2000.0
136967,1695542682,The Barn (Bonfire Films),Shorts,Film & Video,USD,2011-10-02,500.0,2011-09-16 19:21:41,1975.0,successful,36,US,1975.0,1975.0,500.0
59130,1300750879,Brazilomania,Documentary,Film & Video,USD,2012-11-22,6000.0,2012-10-23 22:56:02,20.0,failed,1,US,20.0,20.0,6000.0
324425,722443301,Word Play Designs Graphic T-shirts For the Brain & the Body,Fashion,Fashion,USD,2011-11-25,9500.0,2011-10-26 23:35:15,40.0,failed,1,US,40.0,40.0,9500.0
98338,1499165690,Sugar Belles Bakery <3,Food,Food,USD,2014-02-23,30000.0,2014-01-24 18:50:51,105.0,failed,5,US,105.0,105.0,30000.0
53852,1274097321,Holdfast Tunisia,Tabletop Games,Games,USD,2017-10-10,2500.0,2017-09-18 23:02:05,10070.0,successful,120,US,3770.0,10070.0,2500.0
205893,2048817885,The Accidental Patriot  (And other crazy War stories),Nonfiction,Publishing,USD,2015-10-11,5000.0,2015-08-12 16:36:42,0.0,failed,0,US,0.0,0.0,5000.0
147823,1751171402,Brighter Waters Album Release,Electronic Music,Music,USD,2011-01-16,1500.0,2010-11-30 08:22:38,1555.0,successful,33,US,1555.0,1555.0,1500.0
78703,1400488158,2nd Annual BMAI Honey Creek Bluegrass Festival,Country & Folk,Music,USD,2011-10-21,1500.0,2011-09-21 09:28:12,0.0,failed,0,US,0.0,0.0,1500.0
169433,1861875157,Ebonae Ward's Senior Thesis Collection,Fashion,Fashion,USD,2014-01-18,1500.0,2013-12-09 19:17:05,2.0,failed,2,US,2.0,2.0,1500.0
156739,1797306242,I'll be writing and recording a song per week in 2012.,Music,Music,USD,2012-03-14,1500.0,2012-01-15 18:15:10,65.0,failed,3,US,65.0,65.0,1500.0
216593,2103455942,Harrison Bonvissuto's Solo EP,Indie Rock,Music,USD,2015-08-08,250.0,2015-07-09 20:55:17,340.0,successful,9,US,340.0,340.0,250.0
62310,1316831833,Brant Croucher's New Album,Country & Folk,Music,USD,2014-06-07,7500.0,2014-05-16 14:08:27,11545.0,successful,61,US,11545.0,11545.0,7500.0
210792,2074192994,10 Second Frenzy-A 15 year olds game debut,Mobile Games,Games,USD,2014-10-15,440.0,2014-09-15 23:58:36,495.0,successful,20,US,495.0,495.0,440.0
120817,1613735891,"Sylan's Debut Album ""Tuff"" (Canceled)",Electronic Music,Music,USD,2013-03-22,5000.0,2013-02-21 00:36:44,125.0,canceled,2,US,125.0,125.0,5000.0
357924,893311716,GoSili® Silicone To Go Coffee Cup,Product Design,Design,USD,2017-05-01,4750.0,2017-03-28 18:01:34,20114.18,successful,389,US,6244.0,20114.18,4750.0
199569,2016305036,10 Days til Draft Day,Documentary,Film & Video,USD,2012-10-12,15000.0,2012-09-12 18:45:47,1.0,failed,1,US,1.0,1.0,15000.0
73537,137463142,"Northern Valentine release their new album - ""Fin de siècle""",Music,Music,USD,2012-02-14,2200.0,2012-01-15 17:13:49,205.0,failed,9,US,205.0,205.0,2200.0
203223,2035010592,Bell Tower Falls wants a van to tour in!,Music,Music,USD,2010-07-02,1000.0,2010-05-14 05:17:29,131.0,failed,4,US,131.0,131.0,1000.0
2347,1012184607,The FLUME - Dice Tower - Dice Case - Hardwood RNG Solution,Tabletop Games,Games,USD,2016-12-08,1000.0,2016-11-08 23:51:11,12730.0,successful,148,US,3413.0,12730.0,1000.0
216661,2103774265,How to lunchman: Diabetic cooking Vol 1 - Mediterranean,Webseries,Film & Video,USD,2013-04-07,150.0,2013-03-09 04:29:19,2.1,failed,2,US,2.1,2.1,150.0
194750,1991618980,Construction and Corruption,Tabletop Games,Games,CAD,2018-01-29,40000.0,2017-12-21 02:58:58,8046.0,live,84,CA,2979.42,6427.03,31951.43
317240,686042503,House of the Blood Sisters - A Chilling Horror Musical,Narrative Film,Film & Video,USD,2013-05-04,15000.0,2013-04-04 23:25:03,3065.0,failed,26,US,3065.0,3065.0,15000.0
226281,220222611,The Junk In My Trunk Needs A Home / Store Front,Crafts,Crafts,USD,2013-05-03,13700.0,2013-04-03 18:08:24,50.0,failed,1,US,50.0,50.0,13700.0
158894,1808215580,"Buckle Blocker -- Child Safety, Seatbelt Release Restraint",Product Design,Design,USD,2011-07-16,11111.0,2011-05-11 03:34:08,4645.0,failed,57,US,4645.0,4645.0,11111.0
293304,562948897,Your CAT custom made out of FELT!!,Crafts,Crafts,USD,2013-04-25,250.0,2013-03-26 02:02:18,271.0,successful,10,US,271.0,271.0,250.0
150450,1764509641,Pendragwn Youth Film Festival,Film & Video,Film & Video,USD,2012-03-10,4000.0,2012-02-09 18:32:04,5143.0,successful,84,US,5143.0,5143.0,4000.0
344110,822719548,The Small Silver Speedster: A Father/Daughter/Car Story,Children's Books,Publishing,USD,2016-05-31,30000.0,2016-05-02 14:47:31,32675.75,successful,599,US,32675.75,32675.75,30000.0
336916,786040331,VUNENA - your handmade knitwear,Apparel,Fashion,EUR,2017-01-07,10000.0,2016-12-08 09:54:03,792.0,failed,16,AT,848.26,844.35,10660.98
303832,617067184,Drowning Man  ::  meditation & celebration,Conceptual Art,Art,USD,2012-12-06,1000.0,2012-11-05 16:33:38,1001.0,successful,7,US,1001.0,1001.0,1000.0
139921,1710565881,NEIGHBORS,Shorts,Film & Video,USD,2013-05-04,750.0,2013-04-19 21:23:38,955.0,successful,21,US,955.0,955.0,750.0
48443,1247006548,SafeBend Tox Free Tube Bending Formula,Fabrication Tools,Technology,EUR,2016-03-09,5700.0,2016-02-08 18:19:07,570.0,failed,12,NL,636.08,632.13,6321.32
36053,1182977527,The Hudson Standard Bitters and Shrubs,Small Batch,Food,USD,2014-06-26,12000.0,2014-05-27 17:22:23,13279.0,successful,179,US,13279.0,13279.0,12000.0
